#                  source year  day       time (hr)   base          u (Ml)          v (Ml)        V.r (Jy)      err.r (Jy)        V.i (Jy)      err.i (Jy)
                      M87 1858  321      0.08333373 AAAP      0.87230749     -1.77677099      0.75817815      0.00009501     -0.00095385      0.00009501
                      M87 1858  321      0.08333373 AAGL  -3041.17301760  -6800.47716693     -0.09336664      0.00009145      0.00007179      0.00009145
                      M87 1858  321      0.08333373 AAPB  -4616.15127040  -4875.80887893     -0.10472268      0.00002642      0.00802353      0.00002642
                      M87 1858  321      0.08333373 AAPV  -4047.97914880  -4301.28139093     -0.11210872      0.00004598      0.02781578      0.00004598
                      M87 1858  321      0.08333373 APGL  -3042.04531627  -6798.70040747     -0.09339568      0.00057764      0.00009120      0.00057764
                      M87 1858  321      0.08333373 APPB  -4617.02358187  -4874.03210240     -0.10472540      0.00016691      0.00802958      0.00016691
                      M87 1858  321      0.08333373 APPV  -4048.85140480  -4299.50458453     -0.11209370      0.00029043      0.02783328      0.00029043
                      M87 1858  321      0.08333373 GLPB  -1574.97827627   1924.66828800      0.18753589      0.00016066     -0.10163464      0.00016066
                      M87 1858  321      0.08333373 PVGL   1006.80611200  -2499.19578453      0.13241217      0.00027956      0.10221868      0.00027956
                      M87 1858  321      0.08333373 PVPB   -568.17216853   -574.52749227      0.48294587      0.00008078      0.08548532      0.00008078
                      M87 1858  321      0.41666651 AAAP      0.86657636     -1.76054986      0.75817832      0.00009501     -0.00094713      0.00009501
                      M87 1858  321      0.41666651 AAGL  -2903.23449173  -6855.89940053     -0.09447866      0.00009145      0.00063717      0.00009145
                      M87 1858  321      0.41666651 AAPB  -4732.60934827  -4962.91580587     -0.10153572      0.00002642      0.00528454      0.00002642
                      M87 1858  321      0.41666651 AAPV  -4207.02523307  -4378.18345813     -0.11191467      0.00004598      0.02271477      0.00004598
                      M87 1858  321      0.41666651 APGL  -2904.10108587  -6854.13884587     -0.09451385      0.00057764      0.00065677      0.00057764
                      M87 1858  321      0.41666651 APPB  -4733.47590827  -4961.15522560     -0.10154123      0.00016691      0.00529084      0.00016691
                      M87 1858  321      0.41666651 APPV  -4207.89181440  -4376.42280960     -0.11190465      0.00029043      0.02272792      0.00029043
                      M87 1858  321      0.41666651 GLPB  -1829.37483520   1892.98357547      0.17234521      0.00016066     -0.09144795      0.00016066
                      M87 1858  321      0.41666651 PVGL   1303.79073920  -2477.71594667      0.12456697      0.00027956      0.09907200      0.00027956
                      M87 1858  321      0.41666651 PVPB   -525.58409973   -584.73239573      0.48292327      0.00008078      0.09029613      0.00008078
                      M87 1858  321      0.75000000 AAAP      0.85421055     -1.74449590      0.75817854      0.00009501     -0.00093452      0.00009501
                      M87 1858  321      0.75000000 AAGL  -2743.09178453  -6908.54779733     -0.09544589      0.00009145      0.00089667      0.00009145
                      M87 1858  321      0.75000000 AAPB  -4812.86181547  -5051.86519893     -0.09871274      0.00002642      0.00324917      0.00002642
                      M87 1858  321      0.75000000 AAPV  -4333.88683093  -4457.75854080     -0.11102712      0.00004598      0.01869685      0.00004598
                      M87 1858  321      0.75000000 APGL  -2743.94600533  -6906.80330240     -0.09547712      0.00057764      0.00092543      0.00057764
                      M87 1858  321      0.75000000 APPB  -4813.71606187  -5050.12066987     -0.09872119      0.00016691      0.00325471      0.00016691
